Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16PJN0378X;1;MATUTINO;ADELITA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;PROLONGACIÓN ORIENTE;39;PRIVADA SEGUNDA DE ORIENTE;CALLE TERCERA DE ORIENTE;CALLE TERCERA PRIVADA ORIENTE;50;CASA DEL NIÑO ORIENTE;60090;;34;42;76;0;3;3;3;3;;102:3:49.41 W;19:24:7.51 N;-102,063725;19,402086
16EJN0240F;1;MATUTINO;GRAL LAZARO CARDENAS DEL RIO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JOSÉ MARÍA VELASCO;13;CALLE JOSÉ LUIS CUEVAS;CALLE FRIDA KALHO;CALLE JUVENTINO ROSAS;406;MANUEL PÉREZ CORONADO;60157;;19;18;37;0;3;3;2;2;;102:1:57.33 W;19:23:36.71 N;-102,032593;19,393531
16DJN2097X;1;MATUTINO;FRANCISCO GONZALEZ BOCANEGRA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE GABRIEL GARCIA HERNANDEZ;0;CALLE IRENE MEDINA FIGUEROA;CALLE GABRIEL MERINO RODILES;CALLE WENCESLAO VICTORIA SOTO;205;MOVIMIENTO ANTORCHITA;60156;;90;75;165;1;8;9;9;9;;102:1:26.50 W;19:23:51.60 N;-102,024027;19,397668
16PJN0632Z;1;MATUTINO;SALA MAGICA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE AVENIDA LAZARO CARDENAS;3;NINGUNO NINGUNO;CALLE GARCÍA NAVA;CALLE LIBERTAD;318;ZUMPIMITO;60190;;20;13;33;0;3;3;3;3;;102:3:23.98 W;19:22:23.60 N;-102,056662;19,373222
16DJN0423O;1;MATUTINO;LUIS VAN BEETHOVEN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE LEONARDO DA VINCI;11;CALLEJÓN DEL ROSAL;CALLE BENITO JUÁREZ;CALLE REMBRANDT;218;PLAN DE AYALA;60014;;35;35;70;0;3;3;3;3;;102:4:57.39 W;19:25:23.53 N;-102,082607;19,423204
16DJN0085E;1;MATUTINO;HANS CHRISTIAN ANDERSEN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE COLOMBIA;45;CALLE PERU;CALLE PARAGUAY;CALLE BRASIL;20;AMÉRICA;60160;;59;51;110;0;6;6;6;6;;102:3:0.95 W;19:24:5.90 N;-102,050265;19,40164
16PJN0237Y;1;MATUTINO;BAMBI;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MARIANO JIMENEZ;99;PRIVADA DE ANILLO DE CIRCUNVALACIÓN;NINGUNO NINGUNO;CALLE ANILLO DE CIRCUNVALACIÓN;11;22 DE OCTUBRE;60074;;24;38;62;0;3;3;3;4;;102:4:18.99 W;19:25:0.70 N;-102,071943;19,416861
16DJN2666Y;1;MATUTINO;JUAN ESCUTIA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE JESUS REYES HEROLES;0;CALLE MIGUEL HIDALGO;CALLE MARÍA CURIE;DIAGONAL LÁZARO CÁRDENAS;249;SAN JUAN EVANGELISTA;60060;;65;49;114;0;5;5;5;5;;102:4:22.53 W;19:24:38.29 N;-102,072926;19,410635
16DJN0422P;1;MATUTINO;RUBEN DARIO;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE RÍO DUERO;0;CALLE RÍO AMAZONAS;CALLE RÍO VOLGA;CALLE RÍO AMAZONAS;191;MANANTIALES;60030;;18;18;36;0;3;3;3;3;;102:4:16.80 W;19:25:57.81 N;-102,071334;19,432724
16EJN0239Q;2;VESPERTINO;MARIA AUXILIADORA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;ESTATAL;16;MICHOACÁN DE OCAMPO;102;URUAPAN;71;CUTZATO (CUISATO);CALLE NINGUNO;0;CALLE NINGUNO;CALLE NINGUNO;CALLE NINGUNO;2;CUTZATO (CUISATO);60230;;13;25;38;0;2;2;2;2;;102:7:45.69 W;19:21:36.81 N;-102,129357;19,360225
